Date,Open,High,Low,Close,Adj Close,Volume
2021/12/22,104.5,104.5,103.5,103.5,103.5,11494283
2021/12/23,104,104.5,103.5,104,104,13822871
2021/12/24,104.5,105,104,104,104,11585049
2021/12/27,104.5,105,104,104.5,104.5,8809417
2021/12/28,104.5,105.5,104.5,105.5,105.5,15514907
2021/12/29,105,105.5,104.5,105,105,13358175
2021/12/30,104.5,105,104,104,104,16940701
2022/1/3,104.5,105,103,103,103,21800309
2022/1/4,104,104,103,103.5,103.5,18097232
2022/1/5,104,111,103.5,109,109,142256949
2022/1/6,108,108.5,106,107,107,49111058
2022/1/7,108,108.5,106,106.5,106.5,38575103
2022/1/10,106,106.5,104,104.5,104.5,34566857
2022/1/11,104.5,105,104,104.5,104.5,26075278
2022/1/12,105,105.5,104,104.5,104.5,18805639
2022/1/13,105,105.5,104.5,105.5,105.5,19590729
2022/1/14,105,105.5,103,103.5,103.5,38360049
2022/1/17,103.5,104.5,103.5,103.5,103.5,16094235
2022/1/18,104.5,104.5,103.5,103.5,103.5,14778734
2022/1/19,103.5,104.5,103,103.5,103.5,23938918
2022/1/20,103.5,104,103,103,103,28843468
2022/1/21,102.5,103,102,102,102,32900646
2022/1/24,103,104.5,102.5,103,103,41645390
2022/1/25,103,103.5,102,103,103,28944982
2022/1/26,103,103.5,102,102,102,33050112
2022/2/7,102.5,104.5,102.5,103,103,33556371
2022/2/8,104,106,103,105.5,105.5,42889717
2022/2/9,106,106.5,105.5,106.5,106.5,22694894
2022/2/10,106.5,107,105.5,106.5,106.5,20096356
2022/2/11,105.5,106,104.5,106,106,16613415
2022/2/14,105,105,103.5,104,104,22322581
2022/2/15,104,105,104,104,104,13442567
2022/2/16,105,106,104.5,105.5,105.5,13415034
2022/2/17,106,106.5,105,106,106,25431607
2022/2/18,105,106,105,105.5,105.5,11303877
2022/2/21,105,107,104.5,106,106,23424745
2022/2/22,105,105.5,104,104.5,104.5,25922027
2022/2/23,104.5,105.5,104.5,105,105,14519774
2022/2/24,104,104.5,102.5,102.5,102.5,47297284
2022/2/25,103,103.5,102.5,103,103,29597295
2022/3/1,104,105.5,103.5,104.5,104.5,28845483
2022/3/2,104,105,104,104.5,104.5,13781632
2022/3/3,105,105.5,104.5,104.5,104.5,13799475
2022/3/4,104,105,103.5,105,105,18406414
2022/3/7,104,104,102.5,102.5,102.5,43631775
2022/3/8,101.5,102.5,100,101.5,101.5,60192113
2022/3/9,102,102.5,101.5,101.5,101.5,29168018
2022/3/10,103,104,102.5,103,103,25008712
2022/3/11,103,104,102.5,103.5,103.5,23629440
2022/3/14,103,104,102.5,102.5,102.5,25796152
2022/3/15,102,103,101,101,101,31099190
2022/3/16,101.5,102.5,100,101.5,101.5,35941142
2022/3/17,103.5,104.5,103,104,104,43536754
2022/3/18,105,106,103.5,106,106,82056684
2022/3/21,106,106.5,104.5,104.5,104.5,21118636
2022/3/22,104,104.5,103.5,104,104,21010720
2022/3/23,104.5,105.5,104,105.5,105.5,19211000
2022/3/24,105,108,104.5,106.5,106.5,49972000
