Date,Open,High,Low,Close,Adj Close,Volume
2021/12/22,63.400002,63.900002,63.299999,63.700001,63.700001,82654446
2021/12/23,64.400002,64.5,63.799999,63.900002,63.900002,70656246
2021/12/24,64.300003,64.900002,64.099998,64.300003,64.300003,75313292
2021/12/27,64.599998,64.699997,64.199997,64.300003,64.300003,45805295
2021/12/28,64.900002,65.199997,64.699997,64.699997,64.699997,79937853
2021/12/29,65.099998,65.199997,64.699997,65,65,52868829
2021/12/30,65.099998,65.300003,64.800003,65,65,48028296
2022/1/3,65.199997,65.5,63.200001,63.400002,63.400002,120134207
2022/1/4,63.5,64,62.799999,63,63,113554504
2022/1/5,63,64,62.700001,63.099998,63.099998,83002873
2022/1/6,62.5,62.900002,62.400002,62.700001,62.700001,80543215
2022/1/7,63.700001,63.700001,62.5,62.599998,62.599998,99195601
2022/1/10,62,62.5,61.799999,62.099998,62.099998,95348594
2022/1/11,62.299999,62.5,61.900002,62.099998,62.099998,44217559
2022/1/12,62.700001,62.799999,61.799999,61.900002,61.900002,74002300
2022/1/13,62.099998,63.599998,62.099998,63.299999,63.299999,115790076
2022/1/14,63.5,63.5,62.200001,62.700001,62.700001,92471313
2022/1/17,63.099998,64.400002,63,64.300003,64.300003,154911953
2022/1/18,64.5,64.900002,63.799999,63.799999,63.799999,96924393
2022/1/19,63,63.5,62.799999,62.799999,62.799999,75176729
2022/1/20,62.900002,63.799999,62.5,63.5,63.5,61673388
2022/1/21,62.700001,63.299999,62.599998,62.799999,62.799999,84065982
2022/1/24,62.299999,62.799999,61.200001,62.599998,62.599998,104842422
2022/1/25,61.799999,62.200001,61.5,61.5,61.5,128470767
2022/1/26,56.400002,58.5,56.099998,57.299999,57.299999,399886476
2022/2/7,56.900002,57,53.700001,54.5,54.5,303067087
2022/2/8,54.599998,55.900002,54.599998,55.400002,55.400002,145754347
2022/2/9,56.299999,56.799999,55.700001,56,56,104196446
2022/2/10,57,57,55.099998,55.799999,55.799999,113911457
2022/2/11,55.5,56,55,55.400002,55.400002,84581234
2022/2/14,54,54.099998,53,53,53,159459899
2022/2/15,53,54.299999,53,53.5,53.5,100424261
2022/2/16,54.599998,54.900002,54.099998,54.099998,54.099998,90558141
2022/2/17,54.700001,55,54.099998,54.400002,54.400002,67766598
2022/2/18,53.799999,54,53.5,53.700001,53.700001,81812084
2022/2/21,53.299999,54.400002,53,53.799999,53.799999,77093640
2022/2/22,53.200001,53.400002,52.299999,52.799999,52.799999,111986147
2022/2/23,52.900002,53.599998,52.900002,53.599998,53.599998,56264257
2022/2/24,52.799999,53.200001,51.700001,51.799999,51.799999,105770914
2022/2/25,53,53.299999,52,52.099998,52.099998,107149479
2022/3/1,53,54.5,52.5,54.099998,54.099998,117258341
2022/3/2,53.200001,53.900002,53.099998,53.599998,53.599998,57767223
2022/3/3,54.200001,54.5,53.799999,54.200001,54.200001,46574496
2022/3/4,53.299999,53.799999,53.200001,53.400002,53.400002,45291882
2022/3/7,52.799999,52.799999,51.299999,51.599998,51.599998,106963655
2022/3/8,50.599998,51.200001,49.5,49.700001,49.700001,178913624
2022/3/9,50.799999,52.200001,50.5,51.799999,51.799999,97926742
2022/3/10,53.5,53.799999,52.599998,52.799999,52.799999,96899292
2022/3/11,52.700001,53,52.299999,52.5,52.5,46824536
2022/3/14,52.700001,53.099998,51.799999,52.5,52.5,59505595
2022/3/15,51.400002,51.599998,50.200001,50.400002,50.400002,117655236
2022/3/16,51.200001,51.299999,50.099998,50.799999,50.799999,82159391
2022/3/17,52.400002,52.799999,52.200001,52.599998,52.599998,106432004
2022/3/18,52.700001,53,52.5,52.799999,52.799999,66178749
2022/3/21,53.5,53.700001,53.099998,53.5,53.5,50926506
2022/3/22,53.5,53.5,52.900002,53.5,53.5,47683407
2022/3/23,53.8,54.2,53.6,53.8,53.8,63034000
2022/3/24,53,53.4,52.9,53.2,53.2,49924000
