Date,Open,High,Low,Close,Adj Close,Volume
2021/12/22,1095,1095,1080,1085,1085,1329910
2021/12/23,1090,1105,1085,1095,1095,2693726
2021/12/24,1100,1130,1095,1120,1120,4983433
2021/12/27,1125,1185,1120,1145,1145,8440835
2021/12/28,1160,1180,1155,1175,1175,4928695
2021/12/29,1180,1200,1170,1185,1185,5074409
2021/12/30,1200,1200,1175,1190,1190,3809725
2022/1/3,1205,1215,1145,1150,1150,7374387
2022/1/4,1165,1175,1145,1165,1165,6688764
2022/1/5,1170,1190,1150,1175,1175,7020406
2022/1/6,1150,1155,1110,1135,1135,8129690
2022/1/7,1130,1145,1090,1100,1100,8258414
2022/1/10,1080,1095,1070,1095,1095,7069419
2022/1/11,1090,1095,1065,1080,1080,4406422
2022/1/12,1095,1095,1070,1085,1085,3016339
2022/1/13,1090,1110,1085,1100,1100,5047874
2022/1/14,1090,1090,1055,1065,1065,5581491
2022/1/17,1075,1120,1070,1115,1115,5457933
2022/1/18,1110,1145,1105,1105,1105,4858889
2022/1/19,1095,1120,1090,1100,1100,4742173
2022/1/20,1105,1110,1070,1090,1090,5235983
2022/1/21,1060,1080,1055,1070,1070,5844178
2022/1/24,1060,1090,1050,1090,1090,5048568
2022/1/25,1080,1090,1070,1085,1085,4466066
2022/1/26,1070,1095,1070,1075,1075,5129604
2022/2/7,1130,1130,1075,1100,1100,18787872
2022/2/8,1125,1125,1090,1095,1095,8746495
2022/2/9,1125,1135,1095,1130,1130,7950712
2022/2/10,1140,1165,1125,1160,1160,8574392
2022/2/11,1150,1170,1145,1150,1150,4989740
2022/2/14,1120,1125,1100,1105,1105,5433143
2022/2/15,1110,1120,1090,1100,1100,3248639
2022/2/16,1130,1130,1115,1130,1130,2903544
2022/2/17,1130,1135,1120,1130,1130,3007009
2022/2/18,1115,1125,1105,1120,1120,2500405
2022/2/21,1115,1135,1110,1130,1130,3088278
2022/2/22,1115,1120,1090,1110,1110,4745273
2022/2/23,1110,1120,1100,1120,1120,3540429
2022/2/24,1095,1105,1055,1060,1060,7867454
2022/2/25,1075,1095,1060,1085,1085,7091202
2022/3/1,1105,1120,1095,1100,1100,5420606
2022/3/2,1105,1105,1070,1080,1080,3632197
2022/3/3,1085,1100,1065,1080,1080,3799148
2022/3/4,1060,1060,1025,1025,1025,6254448
2022/3/7,985,995,970,972,972,10685986
2022/3/8,945,986,943,963,963,7230258
2022/3/9,971,976,956,966,966,5981552
2022/3/10,990,1005,982,995,995,5820879
2022/3/11,1000,1000,961,963,963,5586320
2022/3/14,973,975,934,944,944,8517631
2022/3/15,933,935,901,904,904,9349160
2022/3/16,930,931,900,907,907,7483037
2022/3/17,951,978,949,968,968,9344377
2022/3/18,971,974,955,969,969,6554769
2022/3/21,985,985,977,978,978,3910421
2022/3/22,971,980,967,975,975,3925166
2022/3/23,988,995,976,977,977,4097000
2022/3/24,978,978,967,972,972,4646000
