Date,Open,High,Low,Close,Adj Close,Volume
2021/12/22,598,601,598,600,597.04303,9831802
2021/12/23,607,608,602,606,603.013428,16654439
2021/12/24,606,609,604,604,601.023315,11059689
2021/12/27,604,610,604,606,603.013428,16259872
2021/12/28,610,615,610,615,611.969116,33892718
2021/12/29,615,619,614,616,612.964172,24518766
2021/12/30,619,620,615,615,611.969116,19681276
2022/1/3,619,632,618,631,627.890259,69089158
2022/1/4,645,656,644,656,652.767029,79434666
2022/1/5,669,669,646,650,646.796631,69593809
2022/1/6,638,646,636,644,640.826172,53210211
2022/1/7,643,646,632,634,630.875488,38249908
2022/1/10,628,645,627,643,639.831116,38289770
2022/1/11,646,651,639,651,647.791687,33196585
2022/1/12,657,660,650,660,656.747314,38860063
2022/1/13,658,662,655,661,657.742371,38137411
2022/1/14,673,673,661,672,668.688171,95200777
2022/1/17,685,688,678,683,679.633972,59614236
2022/1/18,678,681,662,662,658.737488,43593330
2022/1/19,652,660,651,654,650.776917,40381333
2022/1/20,650,657,646,651,647.791687,46474584
2022/1/21,644,646,637,641,637.840942,49577684
2022/1/24,639,655,637,653,649.781799,47134502
2022/1/25,643,645,638,641,637.840942,52318736
2022/1/26,635,641,635,636,632.865601,29957189
2022/2/7,644,644,631,635,631.870544,56836469
2022/2/8,645,645,628,628,624.905029,39718217
2022/2/9,635,637,630,633,629.880371,30048791
2022/2/10,639,649,637,649,645.801514,34587133
2022/2/11,646,650,642,650,646.796631,26723278
2022/2/14,640,641,635,637,633.860657,27826382
2022/2/15,633,639,633,633,629.880371,21970460
2022/2/16,645,646,640,646,642.816345,25191741
2022/2/17,644,646,641,645,641.821228,18135080
2022/2/18,638,639,636,637,633.860657,20804191
2022/2/21,633,636,632,632,628.885315,23797502
2022/2/22,628,630,625,627,623.909973,34086593
2022/2/23,624,629,623,625,621.9198,31953054
2022/2/24,618,619,604,604,601.023315,73663161
2022/2/25,600,609,600,604,601.023315,89012516
2022/3/1,599,610,599,604,601.023315,66720867
2022/3/2,601,605,600,601,598.038086,40693457
2022/3/3,603,607,601,602,599.033142,33792420
2022/3/4,595,597,592,595,592.067688,55917115
2022/3/7,580,581,575,576,573.161316,86496560
2022/3/8,561,570,561,563,560.225342,79029914
2022/3/9,567,573,567,568,565.200745,52155415
2022/3/10,585,589,582,587,584.107117,45630467
2022/3/11,581,582,574,575,572.16626,38943098
2022/3/14,574,577,572,572,569.18103,33919577
2022/3/15,562,563,558,558,555.25,74092231
2022/3/16,564,565,555,558,558,43438327
2022/3/17,578,583,575,582,582,60959900
2022/3/18,582,582,576,581,581,46242430
2022/3/21,583,589,583,586,586,21400273
2022/3/22,577,586,577,583,583,20246949
2022/3/23,590,590,586,590,590,25793000
2022/3/24,587,592,585,591,591,19961000
